tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,candidates,tie_split_at_cutoff,tie_group_sizes,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
typical,145,35,12,greedy_bridge,,301.714,266.5705,298.538,261.84,0.010526525119815444,0.017745774569954298,-0.007219249450138854,12,{0: 12},topk,0.31,35.0,"(12, 1)","[22, 13]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,12,greedy_betweenness,,301.714,266.5705,156.322,138.371,0.4818868199685795,0.48092155733661446,0.0009652626319650581,12,{0: 12},topk,0.16,35.0,"(1, 0)","[6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,12,greedy_spectral,,301.714,266.5705,148.456,136.234,0.5079578673843441,0.4889381983377755,0.0190196690465686,12,{0: 12},topk,0.17,35.0,"(1, 0)","[5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,12,alns,7.0,301.714,266.5705,65.822,75.173,0.7818397555300716,0.717999553589013,0.06384020194105855,12,{0: 12},max_iter,13.7,,,,300.0,286.0,"{0: 2.853246119525447, 1: 0.6687146897379855, 2: 0.6548529783518102, 3: 0.6574218667592472}","{'random': 1.282598836910592, 'probability': 1.564786065432056, 'degree': 2.6070223412025, 'bridge': 0.8246070769144951, 'betweenness': 1.2671475208094551, 'spectral': 1.9729119580625338}","{'random': 1.1513870996587199, 'worst': 2.191648096900151, 'related': 1.1198782815788086}","{'random': 1, 'probability': 2, 'degree': 4, 'bridge': 0, 'betweenness': 2, 'spectral': 3}",{0: 12},"{0: 12, 1: 0, 2: 0, 3: 0}","{0: 139, 1: 59, 2: 48, 3: 54}","{'random': 1, 'probability': 1, 'degree': 5, 'bridge': 0, 'betweenness': 3, 'spectral': 5}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 35, 1: 2041, 2: 13592, 3: 6065}","(1, 4)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,145,35,18,greedy_random,7.0,301.714,266.5705,177.948,153.059,0.410209668759156,0.42582168694585487,-0.015612018186698884,18,{0: 18},topk,0.17,35.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,greedy_probability,,301.714,266.5705,69.428,63.2865,0.7698880396667043,0.7625900090220036,0.007298030644700693,18,{0: 18},topk,0.08,35.0,"(5, 17)","[22, 10, 3]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,greedy_degree,,301.714,266.5705,22.564,23.9905,0.9252139443313867,0.9100031698931427,0.015210774438244035,18,{0: 18},topk,0.03,35.0,"(1, 1)","[6, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,greedy_bridge,,301.714,266.5705,253.652,218.9485,0.15929655236415952,0.1786469245471648,-0.019350372183005282,18,{0: 18},topk,0.26,35.0,"(5, 17)","[22, 13]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,greedy_betweenness,,301.714,266.5705,30.182,32.927,0.8999648673909729,0.8764792053134162,0.023485662077556757,18,{0: 18},topk,0.04,35.0,"(1, 0)","[6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,greedy_spectral,,301.714,266.5705,29.016,28.1795,0.903829454383953,0.8942887528815079,0.009540701502445126,18,{0: 18},topk,0.04,35.0,"(1, 0)","[5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,145,35,18,alns,7.0,301.714,266.5705,19.962,25.079,0.9338380055284143,0.9059198223359299,0.027918183192484403,18,{0: 18},max_iter,7.28,,,,300.0,278.0,"{0: 0.9284642785924814, 1: 0.2802407075732724, 2: 0.28384168416340516, 3: 0.25418658283290013}","{'random': 0.31381059609000017, 'probability': 0.22876792454961012, 'degree': 0.25418658283290013, 'bridge': 0.4647848738688991, 'betweenness': 0.7530277516424667, 'spectral': 0.7588740430476231}","{'random': 0.3317134905969346, 'worst': 0.8915359034916901, 'related': 0.3374326887106749}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 1, 'betweenness': 2, 'spectral': 4}",{0: 7},"{0: 7, 1: 0, 2: 0, 3: 0}","{0: 157, 1: 55, 2: 55, 3: 33}","{'random': 0, 'probability': 0, 'degree': 3, 'bridge': 0, 'betweenness': 4, 'spectral': 8}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 35, 1: 2041, 2: 13592, 3: 6065}","(1, 7)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,587,10,3,greedy_random,7.0,303.566,274.1475,265.142,240.3325,0.12657543993727882,0.12334600899150994,0.0032294309457688852,3,{0: 3},topk,0.28,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,greedy_probability,,303.566,274.1475,103.788,98.4235,0.6581040037421846,0.6409834122142277,0.017120591527956863,3,{0: 3},topk,0.12,10.0,"(2, 2)","[5, 4, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,greedy_degree,,303.566,274.1475,145.432,124.28,0.5209213152988148,0.5466673962009502,-0.02574608090213537,3,{0: 3},topk,0.15,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,greedy_bridge,,303.566,274.1475,154.376,134.911,0.49145820019369757,0.5078890013587576,-0.016430801165060016,3,{0: 3},topk,0.16,10.0,"(2, 7)","[9, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,greedy_betweenness,,303.566,274.1475,237.882,229.4585,0.21637469281803623,0.163010787988218,0.05336390482981823,3,{0: 3},topk,0.26,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,greedy_spectral,,303.566,274.1475,255.96,240.3995,0.15682256906241132,0.12310161500652017,0.03372095405589115,3,{0: 3},topk,0.28,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,3,alns,7.0,303.566,274.1475,97.564,92.9365,0.6786069586185541,0.6609981852834697,0.017608773335084482,3,{0: 3},max_iter,11.01,,,,300.0,210.0,"{0: 1.5574573939961789, 1: 0.5761562544212401, 2: 0.7107810001438502, 3: 0.4327526572730125}","{'random': 0.8353458747575181, 'probability': 1.130201356128906, 'degree': 0.8664545915991971, 'bridge': 1.0671203671293559, 'betweenness': 0.47071589413500015, 'spectral': 0.31381059609000017}","{'random': 0.44965704465177964, 'worst': 0.7275541765048609, 'related': 0.9725481366337724}","{'random': 1, 'probability': 2, 'degree': 3, 'bridge': 1, 'betweenness': 0, 'spectral': 0}","{0: 6, 1: 1}","{0: 6, 1: 1, 2: 0, 3: 0}","{0: 129, 1: 60, 2: 64, 3: 47}","{'random': 5, 'probability': 9, 'degree': 7, 'bridge': 1, 'betweenness': 0, 'spectral': 4}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 10, 1: 540, 2: 9244, 3: 11048}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,587,10,4,greedy_random,7.0,303.566,274.1475,240.568,222.0395,0.20752653459214787,0.1900728622365696,0.017453672355578265,4,{0: 4},topk,0.27,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,greedy_probability,,303.566,274.1475,77.876,72.7325,0.7434627066272244,0.7346957386078662,0.008766968019358168,4,{0: 4},topk,0.08,10.0,"(3, 1)","[5, 4, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,greedy_degree,,303.566,274.1475,119.52,100.8935,0.6062800181838546,0.6319736638123638,-0.025693645628509176,4,{0: 4},topk,0.12,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,greedy_bridge,,303.566,274.1475,145.416,124.2605,0.5209740221236897,0.5467385257935965,-0.02576450366990679,4,{0: 4},topk,0.16,10.0,"(3, 6)","[9, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,greedy_betweenness,,303.566,274.1475,232.778,224.354,0.23318816995315672,0.1816303267401671,0.05155784321298962,4,{0: 4},topk,0.25,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,greedy_spectral,,303.566,274.1475,105.346,99.6395,0.6529716766699827,0.6365478437702332,0.01642383289974947,4,{0: 4},topk,0.11,10.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,587,10,4,alns,7.0,303.566,274.1475,67.734,67.945,0.7768722452448562,0.752158965520386,0.02471327972447024,4,{0: 4},max_iter,10.6,,,,300.0,220.0,"{0: 1.3420428933505517, 1: 0.6363137456916932, 2: 0.571919811374025, 3: 0.5902777312452901}","{'random': 1.0094031633830944, 'probability': 0.9884998908990995, 'degree': 0.8519957683843504, 'bridge': 0.5840363871675002, 'betweenness': 0.7874337212473485, 'spectral': 0.49895884778310035}","{'random': 0.7489123498251722, 'worst': 0.9178253861791303, 'related': 0.7638271946284637}","{'random': 3, 'probability': 1, 'degree': 1, 'bridge': 0, 'betweenness': 2, 'spectral': 0}",{0: 7},"{0: 7, 1: 0, 2: 0, 3: 0}","{0: 116, 1: 64, 2: 64, 3: 56}","{'random': 3, 'probability': 8, 'degree': 5, 'bridge': 2, 'betweenness': 3, 'spectral': 0}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 10, 1: 540, 2: 9244, 3: 11048}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,359,22,4,greedy_random,7.0,325.596,304.7485,286.894,263.9905,0.11886509662280864,0.13374307010534914,-0.014877973482540496,4,{0: 4},topk,0.29,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,greedy_probability,,325.596,304.7485,212.318,189.333,0.3479096794800919,0.37872376730320245,-0.03081408782311057,4,{0: 4},topk,0.22,22.0,"(4, 0)","[13, 5, 4]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,greedy_degree,,325.596,304.7485,283.188,266.617,0.130247300335385,0.12512448789739727,0.005122812437987734,4,{0: 4},topk,0.3,22.0,"(1, 0)","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,greedy_bridge,,325.596,304.7485,301.022,286.7835,0.07547390017076383,0.05895024913986446,0.016523651030899367,4,{0: 4},topk,0.32,22.0,"(1, 18)","[19, 3]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,greedy_betweenness,,325.596,304.7485,284.466,266.339,0.12632219069030326,0.12603671552115925,0.0002854751691440116,4,{0: 4},topk,0.3,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,greedy_spectral,,325.596,304.7485,283.188,266.617,0.130247300335385,0.12512448789739727,0.005122812437987734,4,{0: 4},topk,0.0,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,4,alns,7.0,325.596,304.7485,174.068,179.498,0.4653865526603521,0.41099628053952686,0.054390272120825256,4,{0: 4},max_iter,16.31,,,,300.0,232.0,"{0: 2.1341652561158653, 1: 0.6666749208634006, 2: 0.5153935570011852, 3: 0.5363336897774194}","{'random': 0.9435432852808346, 'probability': 1.683830266208701, 'degree': 1.258955228616332, 'bridge': 0.6328775196645079, 'betweenness': 0.8959606328965593, 'spectral': 0.5805496027665003}","{'random': 1.2478170279220426, 'worst': 1.0261880728406998, 'related': 1.2409024760668779}","{'random': 1, 'probability': 5, 'degree': 2, 'bridge': 0, 'betweenness': 1, 'spectral': 0}",{0: 9},"{0: 9, 1: 0, 2: 0, 3: 0}","{0: 147, 1: 49, 2: 60, 3: 44}","{'random': 2, 'probability': 4, 'degree': 6, 'bridge': 2, 'betweenness': 4, 'spectral': 3}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 22, 1: 927, 2: 11508, 3: 8839}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,359,22,8,greedy_random,7.0,325.596,304.7485,250.846,224.6975,0.22957898745684835,0.2626788975171329,-0.033099910060284565,8,{0: 8},topk,0.25,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,8,greedy_probability,,325.596,304.7485,124.708,107.8805,0.6169854666519246,0.6460015389739409,-0.029016072322016306,8,{0: 8},topk,0.12,22.0,"(4, 1)","[13, 5, 4]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,8,greedy_degree,,325.596,304.7485,188.132,183.8095,0.42219191881964147,0.39684854888539234,0.025343369934249127,8,{0: 8},topk,0.2,22.0,"(1, 0)","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,8,greedy_bridge,,325.596,304.7485,262.544,246.012,0.1936510276539024,0.19273761806866974,0.0009134095852326718,8,{0: 8},topk,0.27,22.0,"(5, 14)","[19, 3]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,8,greedy_betweenness,,325.596,304.7485,203.66,186.865,0.374500915244659,0.3868222485098367,-0.012321333265177703,8,{0: 8},topk,0.21,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,8,greedy_spectral,,325.596,304.7485,203.66,186.865,0.374500915244659,0.3868222485098367,-0.012321333265177703,8,{0: 8},topk,0.0,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
